"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"2","1.330518","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"3","2.252835","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"4","2.498782","192.168.1.132","41.72.110.206","TCP","54","31827  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65008 Len=0"
"5","2.499214","192.168.1.132","41.72.110.206","TCP","54","31835  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65008 Len=0"
"6","2.499373","192.168.1.132","41.72.110.206","TCP","54","31834  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65008 Len=0"
"7","2.663745","41.72.110.206","192.168.1.132","TCP","54","443  >  31827 [FIN, ACK] Seq=1 Ack=2 Win=65008 Len=0"
"8","2.663745","41.72.110.206","192.168.1.132","TCP","54","443  >  31834 [FIN, ACK] Seq=1 Ack=2 Win=64966 Len=0"
"9","2.663745","41.72.110.206","192.168.1.132","TCP","54","443  >  31835 [FIN, ACK] Seq=1 Ack=2 Win=65008 Len=0"
"10","2.663939","192.168.1.132","41.72.110.206","TCP","54","31827  >  443 [ACK] Seq=2 Ack=2 Win=65008 Len=0"
"11","2.664114","192.168.1.132","41.72.110.206","TCP","54","31834  >  443 [ACK] Seq=2 Ack=2 Win=65008 Len=0"
"12","2.664206","192.168.1.132","41.72.110.206","TCP","54","31835  >  443 [ACK] Seq=2 Ack=2 Win=65008 Len=0"
"13","3.276025","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"14","3.481723","TIBRO_1f:d6:9d","Intel_20:e9:d7","ARP","42","Who has 192.168.1.132? Tell 192.168.1.1"
"15","3.481762","Intel_20:e9:d7","TIBRO_1f:d6:9d","ARP","42","192.168.1.132 is at 74:3a:f4:20:e9:d7"
"16","4.301513","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"17","4.471471","192.168.1.132","52.112.100.70","TLSv1.2","111","Application Data"
"18","4.519969","41.72.110.206","192.168.1.132","TLSv1.2","97","Application Data"
"19","4.565209","192.168.1.132","41.72.110.206","TCP","54","31839  >  443 [ACK] Seq=1 Ack=44 Win=64750 Len=0"
"20","4.814538","52.112.100.70","192.168.1.132","TLSv1.2","100","Application Data"
"21","4.866114","192.168.1.132","52.112.100.70","TCP","54","31800  >  443 [ACK] Seq=58 Ack=47 Win=515 Len=0"
"22","5.324047","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"23","5.836751","192.168.1.107","192.168.1.255","NBNS","92","Name query NB NLB_GRZ<19>"
"24","6.246255","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"25","6.553030","192.168.1.107","192.168.1.255","NBNS","92","Name query NB NLB_GRZ<19>"
"26","7.269999","192.168.1.107","192.168.1.255","NBNS","92","Name query NB NLB_GRZ<19>"
"27","7.372103","fd8c:9225:cb4d:10:3c41:9c2c:6556:b4a","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"28","7.579068","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"29","7.784219","192.168.1.186","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"30","8.500894","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"31","9.522386","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"32","10.056466","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","107","Standard query 0x2396 SRV _ldap._tcp.dc._msdcs.GOV.ZM"
"33","10.241602","192.168.1.107","224.0.0.251","MDNS","73","Standard query 0x0000 A NLB_GRZ.local, ""QM"" question"
"34","10.246063","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","162","Standard query response 0x2396 No such name SRV _ldap._tcp.dc._msdcs.GOV.ZM SOA pch.nic.ZM"
"35","10.246938","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","149","Standard query 0x95eb SRV _ldap._tcp.025080dc-037e-4c89-9603-1b76e29939cf.domains._msdcs.GOV.ZM"
"36","10.343567","fe80::457a:d42d:b727:3b6b","ff02::fb","MDNS","93","Standard query 0x0000 A NLB_GRZ.local, ""QM"" question"
"37","10.361140","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","101","Standard query 0x7118 AAAA config.edge.skype.com"
"38","10.361849","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","101","Standard query 0xa866 A config.edge.skype.com"
"39","10.362329","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","101","Standard query 0x9528 HTTPS config.edge.skype.com"
"40","10.370867","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","91","Standard query 0x2b15 A wpad.GOV.ZM"
"41","10.372267","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","91","Standard query 0x7997 AAAA wpad.GOV.ZM"
"42","10.394808","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","204","Standard query response 0x95eb No such name SRV _ldap._tcp.025080dc-037e-4c89-9603-1b76e29939cf.domains._msdcs.GOV.ZM SOA pch.nic.ZM"
"43","10.422285","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","101","Standard query 0xccc4 AAAA config.edge.skype.com"
"44","10.422870","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","101","Standard query 0xb56b A config.edge.skype.com"
"45","10.423330","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","101","Standard query 0xe5ef HTTPS config.edge.skype.com"
"46","10.485088","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","273","Standard query response 0x7118 AAAA config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net AAAA 2620:1ec:21::16"
"47","10.486417","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","261","Standard query response 0xa866 A config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net A 13.107.42.16"
"48","10.507706","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","302","Standard query response 0xe5ef HTTPS config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net SOA ns1.l-msedge.net"
"49","10.511012","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","261","Standard query response 0xb56b A config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net A 13.107.42.16"
"50","10.515054","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","86","31946  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"51","10.522133","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","302","Standard query response 0x9528 HTTPS config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net SOA ns1.l-msedge.net"
"52","10.532882","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","146","Standard query response 0x2b15 No such name A wpad.GOV.ZM SOA pch.nic.ZM"
"53","10.533257","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","88","Standard query 0x30b3 A wpad.lan"
"54","10.533437","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","88","Standard query 0x9261 AAAA wpad.lan"
"55","10.536221","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","88","Standard query response 0x30b3 No such name A wpad.lan"
"56","10.536297","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","88","Standard query response 0x9261 No such name AAAA wpad.lan"
"57","10.543459","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","273","Standard query response 0xccc4 AAAA config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net AAAA 2620:1ec:21::16"
